year,state,state_po,state_fips,state_cen,state_ic,district,office,district,stage,runoff,special,candidate,party,writein,mode,candidatevotes,totalvotes,unofficial,version,fips
2018,California,CA,6,93,71,0644,US House,44,gen,NA,FALSE,Nanette Diaz Barragan,democrat,FALSE,total,97944,143322,FALSE,20200424,6937144
2018,California,CA,6,93,71,0645,US House,45,gen,NA,FALSE,Katie Porter,democrat,FALSE,total,158906,305289,FALSE,20200424,6937145
2018,California,CA,6,93,71,0646,US House,46,gen,NA,FALSE,Lou Correa,democrat,FALSE,total,102278,147916,FALSE,20200424,6937146
2018,California,CA,6,93,71,0647,US House,47,gen,NA,FALSE,Alan Lowenthal,democrat,FALSE,total,143354,221036,FALSE,20200424,6937147
2018,California,CA,6,93,71,0648,US House,48,gen,NA,FALSE,Harley Rouda,democrat,FALSE,total,157837,294736,FALSE,20200424,6937148
2018,California,CA,6,93,71,0649,US House,49,gen,NA,FALSE,Mike Levin,democrat,FALSE,total,166453,295030,FALSE,20200424,6937149
2018,California,CA,6,93,71,0650,US House,50,gen,NA,FALSE,Duncan Hunter,republican,FALSE,total,134362,259810,FALSE,20200424,6937150
2018,California,CA,6,93,71,0651,US House,51,gen,NA,FALSE,Juan Vargas,democrat,FALSE,total,109527,153828,FALSE,20200424,6937151
2018,California,CA,6,93,71,0652,US House,52,gen,NA,FALSE,Scott Peters,democrat,FALSE,total,188992,296007,FALSE,20200424,6937152
2018,California,CA,6,93,71,0653,US House,53,gen,NA,FALSE,Susan A. Davis,democrat,FALSE,total,185667,268794,FALSE,20200424,6937153
